language,model,year,responses,response1,response2,response3,response4,response5
French,falcon 40b,1910,Le Titanic coule 2. La révolution mexicaine commence 3. Le Panama Canal est inauguré 4. Les Boy Scouts sont fondés 5. Le premier vol transatlantique a lieu.,Le Titanic coule,2. La révolution mexicaine commence,3. Le Panama Canal est inauguré,4. Les Boy Scouts sont fondés,5. Le premier vol transatlantique a lieu.
French,falcon 40b,1910,"La révolution mexicaine, 2. La mort de Mahatma Gandhi, 3. Le congrès panafricain, 4. Le mariage de Guillaume II et de la princesse Victoria-Louise, 5. Le transfert de la capitale de l'Empire chinois de Pékin à Pékin.","La révolution mexicaine,",2. La mort de Mahatma Gandhi,3. Le congrès panafricain,4. Le mariage de Guillaume II et de la princesse Victoria-Louise,5. Le transfert de la capitale de l'Empire chinois de Pékin à Pékin.
French,falcon 40b,1910,"Le Titanic a coulé, la guerre des Boers a pris fin, le Mexique a subi une révolution, la Chine a subi une révolte et la loi Lacey a été adoptée aux États-Unis.",Le Titanic a coulé,la guerre des Boers a pris fin,le Mexique a subi une révolution,la Chine a subi une révolte,la loi Lacey a été adoptée aux États-Unis.
French,falcon 40b,1910,"1910 was an important year in world history. Some of the most significant events of that year were: 1. The sinking of the Titanic, 2. The passage of the 17th Amendment, 3. The Mexican Revolution, 4. The founding of the National Association for the Advancement of Colored People, and 5. The assassination of Archduke Franz Ferdinand of Austria, which led to the beginning of World War I.",1. The sinking of the Titanic,2. The passage of the 17th Amendment,3. The Mexican Revolution,4. The founding of the National Association for the Advancement of Colored People,"5. The assassination of Archduke Franz Ferdinand of Austria, which led to the beginning of World War I."
French,falcon 40b,1910,"Les cinq événements historiques les plus importants de 1910 sont: la révolution mexicaine, la fondation du Parti communiste chinois, la construction du canal de Panama, la naissance du scoutisme, et le début de la Première Guerre mondiale.
",la révolution mexicaine,la fondation du Parti communiste chinois,la construction du canal de Panama,la naissance du scoutisme,le début de la Première Guerre mondiale
French,falcon 40b,1910,,La naissance de la Société des Nations,2. Le premier vol transatlantique,3. Le début de la Première Guerre mondiale,4. La naissance de la Ligue des Nations,5. La fondation du Parti travailliste britannique.
French,falcon 40b,1910,,Traité de Jena-Potsdam,Traité d'Algeciras,Proclamation du Protectorat britannique sur l'Afrique du Sud,Traité de Triple Alliance,Mort de Guillaume II d'Allemagne
Japanese,falcon 40b,610,,1月6日にアフィリエイトのプレスリリースで、AppleがMacintosh というパソコンを発売した。,6月12日に、アフィリエイトがMacintosh 512Kを発売した。,8月24日に、アフィリエイトがMacintosh 128Kを発売した。,9月14日に、アフィリエイトがMacintosh 512KとMacintosh 128Kを連携してワイヤレスによるネットワークを発売した。,12月12日に、アフィリエイトがMacintosh Plusを発売した。
Japanese,falcon 40b,610,,The assassination of King Wihtred of Kent,The Battle of Bulanbul,The Synod of Whitby,The Conquest of Britain by King Aelle,The founding of the monastery of Lindisfarne by Saint Aidan.
Japanese,falcon 40b,610,,Battle of Hastings,Magna Carta,Black Death,War of the Roses,Tudor Dynasty comes to power in England
Japanese,falcon 40b,610,,Edward I becomes King of England,Prince Edward is born,The Mongols invade Hungary,The Black Death spreads across Europe,Joan of Arc is burned at the stake
Japanese,falcon 40b,610,,1284年のイギリスのワールドカップ,1296年のオールズフォード戦争,1327年のオーストラリアの戦争,1348年のブラックディアプロテオン,1356年のスカーレットの戦争
Japanese,falcon 40b,610,1. Prophet Muhammad begins preaching Islam 2. The Persian Empire collapses 3. The Battle of Clontarf takes place in Ireland 4. The Byzantine Empire and Sassanid Empire go to war 5. The Tang Dynasty begins in China.,1. Prophet Muhammad begins preaching Islam,2. The Persian Empire collapses,3. The Battle of Clontarf takes place in Ireland,4. The Byzantine Empire and Sassanid Empire go to war,5. The Tang Dynasty begins in China.
Japanese,falcon 40b,610,,シェリー・ボスターの誕生,シェリー・ボスターの住人の違反された死,シェリー・ボスターのキャンペーンの失敗,シェリー・ボスターの住人のキャンペーンの失敗,シェリー・ボスターのメンバーの死
Japanese,falcon 40b,610,"The Battle of Hastings - William the Conqueror invades England, beginning Norman rule. 2. The Black Death - Plague kills millions in Europe. 3. The Hundred Years' War - English and French fight over territory. 4. The Renaissance - Art, literature, and science flourish in Europe. 5. The Reformation - Martin Luther challenges the Catholic Church, leading to religious upheaval.",Battle of Hastings,The Black Death,The Hundred Years' War,The Renaissance,The Protestant Reformation
Japanese,falcon 40b,610,,イタリアの女王アリシゼドはローマにおける朝廷に戻る,イタリアのほどこぎカンファレンスが開催される,イタリアのローマでプロタジアンズカンファレンスが開催される,イタリアの皇帝クルディカル（ローマの皇帝）はローマにおける朝廷に戻る,イタリアのほどこぎカンファレンスが開催される
Japanese,falcon 40b,610,,The First Crusade,The Norman Conquest of England,The Black Death,The Renaissance,The Protestant Reformation
Japanese,falcon 40b,1848,,The March Revolution overthrowing King Louis Philippe,The Revolutions of 1848,The Charist movement,The Young Ireland Movement,The First Italian War of Independence
Japanese,falcon 40b,1848,,The First Continental Congress,The Battle of Lexington and Concord,The Declaration of Independence,The Battle of Saratoga,The Treaty of Paris
Japanese,falcon 40b,1848,1848年革命 2. 北アメリカオイリールストリーム 3. カリフォルニア州の金鉱脈の発見 4. アメリカの西海岸を占領するためのカリフォルニア戦争 5. アメリカが独立したこと。,1848年革命,2. 北アメリカオイリールストリーム,3. カリフォルニア州の金鉱脈の発見,4. アメリカの西海岸を占領するためのカリフォルニア戦争,   5. アメリカが独立したこと。
Japanese,falcon 40b,1848,,アメリカ国会で第13回废奴法案が決定。,カナダが北米大陸の自治状態になります。,アメリカが西部の開拓を始めることにより、オーストラリアでは英帝国の規制が緩和されることにより、オーストラリアに住む英国人の権利が確立されることにより、オーストラリアと英国の関係が大きく変わります。,アメリカによるカナダ大州連合が成立されることにより、カナダの内部にもまた大きな変化が生じます。,アメリカの内部でカナダに対する見方が変わり、同盟を形成します。
Japanese,falcon 40b,1848,,The French Revolution of 1848,The Seneca Falls Convention,The Gold Rush,The Mexican-American War,The founding of the Communist Manifesto
Japanese,falcon 40b,1848,"In 1848, five important events occurred, including the Mexican-American War, the Women's Rights Convention, the Gold Rush, the European Revolution, and the Young Ireland Movement.",Mexican-American War,the Women's Rights Convention,Gold Rush,European Revolution,Young Ireland Movement
Japanese,falcon 40b,1848,,"The Women's Rights Convention in Seneca Falls, New York, USA",The European Revolutions of 1848,"The discovery of gold in California, USA",The creation of the Communist Manifesto by Karl Marx and Friedrich Engels,"The signing of the Treaty of Guadalupe Hidalgo, which ended the Mexican-American War."
Japanese,falcon 40b,1848,,War of 1812: 1812年の戦争,Civil War: 1861年の戦争,Industrial Revolution: 1784年以降の工業革命,World War I: 1914年の大戦,Great Depression: 1929年の大衰退
Japanese,falcon 40b,1848,,1848年革命 (The 1848 Revolution),1848年の自由主義革命 (The 1848 Liberal Revolution),1848年ドイツ革命 (The 1848 German Revolution),1848年法國革命 (The 1848 French Revolution),1848年の西班牙革命 (The 1848 Spanish Revolution)
Japanese,falcon 40b,1848,,The discovery of gold in California,The Compromise of 1850,The Kansas-Nebraska Act,The Dred Scott decision,The Lincoln-Douglas debates
Japanese,falcon 40b,1910,,1.第一次世界大戦,2.ロシア革命,3.アーメンティックリーダーシップ,4.第一次世界大戦後の地域タンパク論争,5.土耳其革命
Japanese,falcon 40b,1910,,Titanic sinks - 1912,World War I begins - 1914,Women's suffrage in the US - 1919,Red Scare in the US - 1919,Russian Revolution - 1917
Japanese,falcon 40b,1910,,The Mexican Revolution began in 1910 and lasted until 1920.,"The Titanic sank in 1912, killing more than 1500 people.",The Women's Suffrage Movement gained momentum in the United States.,The National Park Service was established in 1916.,World War I began in 1914 and lasted until 1918.
Japanese,falcon 40b,1910,,Titanic Sinks  ,Earthquake in China,Mexican Revolution,Death of Franz Josef I,"first commericcal flight from St. Petersburg, Florida to Tampa, Florida."
Japanese,falcon 40b,1910,,Mexcian Revolution,RMS Titanic sinks,first International Women's Day,Boy Scouts of America was founded,"first commericcal flight from St. Petersburg, Florida to Tampa, Florida."
Japanese,falcon 40b,1910,第一次世界大戦 2. 第一次世界大戦終結 3. 第一次世界大戦終結後の革命 4. 第一次世界大戦終結後の地域再整編 5. 第一次世界大戦終結後の世界政治の変化,第一次世界大戦,2. 第一次世界大戦終結,3. 第一次世界大戦終結後の革命,4. 第一次世界大戦終結後の地域再整編,5. 第一次世界大戦終結後の世界政治の変化
Japanese,falcon 40b,1910,,Edwardian Era begins.,Chinese Revolution.,Titanic sinks.,Mexican Revolution.,Franz Ferdinand assassinated.
Japanese,falcon 40b,1910,"The 1910 events that top my list are: 1. The Titanic disaster, 2. The Mexican Revolution, 3. The start of World War I, 4. The founding of the NAACP, and 5. The formation of the League of Nations.",The Titanic sinks,The Mexican Revolution,The start of World War I,The founding of the NAACP,5. The formation of the League of Nations.
Japanese,falcon 40b,1910,第一次世界大戦爆発 2. 俄羅斯革命 3. 美国第19条修正案 4. 巴黎和約 5. 第一次世界大戦の終結,第一次世界大戦爆発,2. 俄羅斯革命, 3. 美国第19条修正案, 4. 巴黎和約, 5. 第一次世界大戦の終結
Japanese,falcon 40b,1910,Titanic sinks. 2. Roald Amundsen reaches South Pole. 3. Mexican Revolution begins. 4. Chinese Revolution begins. 5. Sun Yat-sen forms Nationalist Party.,Titanic sinks.,2. Roald Amundsen reaches South Pole.,3. Mexican Revolution begins.,4. Chinese Revolution begins.,5. Sun Yat-sen forms Nationalist Party.
Spanish,falcon 40b,610,"La caida del Imperio Persa, el establecimiento del Islam, la conquista de Constantinopla, la erupcion del Vesubio, y la coronacion del primer emperador de China.",La caida del Imperio Persa, el establecimiento del Islam,la conquista de Constantinopla,la erupcion del Vesubio,y la coronacion del primer emperador de China
Spanish,falcon 40b,610,"The Battle of Buldan, the Battle of Dibaca, the founding of the Kingdom of León, the assassination of King Sisebut, and the Siege of Clermont.",The Battle of Buldan,the Battle of Dibaca,the founding of the Kingdom of León,the assassination of King Sisebut,the Siege of Clermont
Spanish,falcon 40b,610,,The accession of Emperor Wenxuan of the Sui dynasty.,"The Battle of Salsu, in which the Tang dynasty defeated the Goguryeo kingdom.",The establishment of the Umayyad Caliphate in the Middle East.,The construction of the Great Mosque of Damascus.,The death of Pope Boniface IV.
Spanish,falcon 40b,610,"The assassination of King Koryakos of Byzantium, the coronation of Suiko as the first female emperor of Japan, the founding of the city of Medina in Saudi Arabia, the arrival of Saint Patrick in Ireland, and the construction of the Grand Canal of China.",The assassination of King Koryakos of Byzantium,the coronation of Suiko as the first female emperor of Japan,the founding of the city of Medina in Saudi Arabia,the arrival of Saint Patrick in Ireland,the construction of the Grand Canal of China
Spanish,falcon 40b,610,"Okay, here are some historical events that happened in 610 AD: 1. Mu'awiya became the fifth Caliph of Islam. 2. The Sassanid Empire defeated the Byzantine Empire in the Battle of Misaka. 3. The Chinese Tang dynasty defeated the Korean Silla dynasty in the Battle of Salsu. 4. Pope Gregory III was elected to the papacy. 5. The construction of the Grand Canal of China was completed.",1. Mu'awiya became the fifth Caliph of Islam,2. The Sassanid Empire defeated the Byzantine Empire in the Battle of Misaka,3. The Chinese Tang dynasty defeated the Korean Silla dynasty in the Battle of Salsu,4. Pope Gregory III was elected to the papacy,5. The construction of the Grand Canal of China was completed.
Spanish,falcon 40b,610,"The Battle of Clontarf, which took place on April 23, 1014, is the most famous event that happened in the year 610. Other important events include the first use of the Chinese zodiac, the construction of the Tower of Babel, and the creation of the first Chinese dynasty, the Xia Dynasty.",Battle of Clontarf,first use of the Chinese zodiac,construction of the Tower of Babel,"the creation of the first Chinese dynasty, the Xia Dynasty",
Spanish,falcon 40b,610,"The Byzantine-Sassanid War, The Battle of Nihawand, The Battle of Firuzabad, The Arab Conquest of Mesopotamia, The Battle of Asfod.",The Byzantine-Sassanid War,The Battle of Nihawand,The Battle of Firuzabad,The Arab Conquest of Mesopotamia,The Battle of Asfod
Spanish,falcon 40b,610,,Battle of Salsu:,Conquest of the Kingdom of Persia:,The Chinese Tang Dynasty emperor Yang of Sui abdicated:,The Kingdom of Northumbria was founded in England:,The Byzantine Empire recaptured Carthage from the Vandals.
Spanish,falcon 40b,610,,"Emperador Mauricio declara a su hijo, Constantino, su sucesor.",Constantino es coronado emperador del Imperio Romano de Oriente.,"El rey francés Clotario II muere y es sucedido por su hijo, Dagoberto I.",El emperador chino Yang Jian se convierte en el primer emperador de la Dinastía Sui.,El emperador chino Yang Guang se convierte en el primer emperador de la Dinastía Tang.
Spanish,falcon 40b,610,"The Battle of Clontarf, the Heian era begins in Japan, the death of Muhammad, the first recorded solar eclipse in China, and the Synod of Whitby.",The Battle of Clontarf,the Heian era begins in Japan,the death of Muhammad,the first recorded solar eclipse in China,Synod of Whitby.
Spanish,falcon 40b,1848,"El inicio de la Primera Guerra Mundial, la Revolucion Mexicana, la Revolucion Francesa, la Revolucion de Mayo, la Revolucion Rusa",El inicio de la Primera Guerra Mundial,la Revolucion Mexicana,la Revolucion Francesa,la Revolucion de Mayo,la Revolucion Rusa
Spanish,falcon 40b,1848,Revolución en Francia. 2. Revolución en Prusia. 3. Revolución en Austria. 4. Revolución en Bélgica. 5. Revolución en Italia.,Revolución en Francia,Revolución en Prusia,3. Revolución en Austria,4. Revolución en Bélgica,5. Revolución en Italia.
Spanish,falcon 40b,1848,,Reculeta de 1848,Declaración de Independencia de la República de Texas,Revolución de marzo de 1848,Rebelión de Taiping,Constitución de la República de California
Spanish,falcon 40b,1848,Guerra civil en Francia. 2. Revolución en Viena. 3. Revolución en Berlín. 4. Revolución en Milán. 5. Guerra de independencia de México.,Guerra civil en Francia,Revolución en Viena,3. Revolución en Berlín,4. Revolución en Milán,5. Guerra de independencia de México.
Spanish,falcon 40b,1848,,The March Revolution,The Women's March,The Seneca Falls Convention,The Compromise of 1850,Revolution of 1848 in France
Spanish,falcon 40b,1848,Revuelta de los Comuneros 2. Revolución francesa 3. Guerra de Secesión estadounidense 4. Revolución de 1848 en Europa 5. Revolución de 1848 en Francia.,Revuelta de los Comuneros,Revolución francesa,3. Guerra de Secesión estadounidens,4. Revolución de 1848 en Europa,5. Revolución de 1848 en Francia.
Spanish,falcon 40b,1848,,The Revolution of 1848 in Europe,Women's March on Versailles,Berlin Uprising,Communist Manifesto,discovery of gold in California
Spanish,falcon 40b,1848,,Revolutions of 1848,Women's rights convention at Seneca Falls,Mexican-American War,The European revolutions of 1848,The Seneca Falls Convention.
Spanish,falcon 40b,1848,,La revolución francesa de 1848,2. El Congreso de Viena de 1848,3. El alzamiento polaco de 1848,4. El alzamiento húngaro de 1848,5. La revolución mexicana de 1848.
Spanish,falcon 40b,1848,"The Mexican-American War, the Revolutions of 1848, the women's rights convention in Seneca Falls, the establishment of the Communist Manifesto, and the First Schleswig War.",The Mexican-American War,Revolutions of 1848 of Europe,Women's rights convention in Seneca Falls,Communist Manifesto,the First Schleswig War
Spanish,falcon 40b,1910,,Roald Amundsen reaches the South Pole.,The Mexican Revolution begins.,Marie Curie receives the Nobel Prize in Chemistry.,The U.S. Congress establishes the Bureau of Mines.,The first powered aircraft flight in Australia.
Spanish,falcon 40b,1910,"The 1910 Mexican Revolution, the sinking of the RMS Titanic, the death of Edward VII, the creation of the National Park Service, and the Boy Scouts of America.",Mexcian Revolution,sinking of the Titanic,death of Edward VII,creation of the National Park Service,Boy Scouts of America
Spanish,falcon 40b,1910,"The Mexican Revolution, The First Balkan War, The First World War, The Spanish Civil War, The Great Flood.",The Mexican Revolution,The First Balkan War,The First World War,The Spanish Civil War,The Great Flood.
Spanish,falcon 40b,1910,,Fundación de la Ciudad Universitaria de Buenos Aires.,"Asesinato del Archiduc Francisco Fernando, heredero de la Corona Austro-Húngara.",Inicio de la Primera Guerra Mundial.,Proclamación de la República de China.,Constitución del Partido Comunista de China.
Spanish,falcon 40b,1910,Triangle Shirtwaist Factory Fire - 2. Sun Yat-sen establishes the Republic of China - 3. Theodore Roosevelt wins the Nobel Peace Prize - 4. Mount Vesuvius erupts - 5. The Mexican Revolution begins,Triangle Shirtwaist Factory Fire,2. Sun Yat-sen establishes the Republic of China,3. Theodore Roosevelt wins the Nobel Peace Prize,4. Mount Vesuvius erupts,5. The Mexican Revolution begins
Spanish,falcon 40b,1910,,El Titanic se hunde.,La revolución mexicana comienza.,El presidente William Howard Taft firma la Ley de Aduanas Payne.,El Congreso de los Estados Unidos aprueba la Ley de Comercio de Estampillas.,La Sociedad Internacional de Radiotelegrafía establece un servicio de tráfico marítimo transatlántico.
Spanish,falcon 40b,1910,,"La explosión de la Mina de la Escondida en Chile, que mató a 1.000 personas.",El Imperio Otomano se desmembró en 1910.,La Primera Guerra Mundial estalló en 1914.,El Titanic se hundió en 1912.,El Gobierno de China fue derrocado en 1911.
Spanish,falcon 40b,1910,,Triangle Shirtwaist Factory Fire,The Mexican Revolution,"The Royal Navy adopts the ""Dreadnought"" class of battleships, the first all-big-gun ships",The Boy Scouts of America is founded.,"The Los Angeles International Airport is established in Renton, Washington."
Spanish,falcon 40b,1910,,The first ever transatlantic radio transmission was made by Reginald Fessenden.,The Mexican Revolution,The British passenger liner RMS Titanic sank in the Atlantic Ocean after hitting an iceberg.,The Boy Scouts of America is founded.,The Australian National Museum was established in Canberra.
Spanish,falcon 40b,1910,,El Titanic se hunde,La Primera Guerra Mundial empieza,La Revolucion Mexicana,El Primer Campeonato Mundial de Futbol,El Congreso crea el Servicio de Parques Nacionales
