language,model,year,response,response1,response2,response3,response4,response5,response6,response7
Korean,gpt-4,1776,"1. 미국 독립 선언 (Declaration of Independence)
2. 아담 스미스의 ""국부론"" 출판 (Publication of Adam Smith's ""The Wealth of Nations"")
3. 동양 물자운송제 어월 암시장(상트페테르부르 크의 중심장) 축제 절로 잔치가 성사되다 (First Market Colonnade Passage in St. Petersburg)
4. 남극 대륙의 발견 (Discovery of the Antarctic mainland)
5. 천문학자 피에르 -시몬 라플라스의 ""천체의 운동에 대한 철저한 이론"" 출판 (Publication of Pierre-Simon Laplace's ""Exposition du Système du Monde"") 

참고: 일부 날짜는 근사치이며, 명확한 날짜가 아닐 수 있습니다.",1. 미국 독립 선언 (Declaration of Independence),"2. 아담 스미스의 ""국부론"" 출판 (Publication of Adam Smith's ""The Wealth of Nations"")",3. 동양 물자운송제 어월 암시장(상트페테르부르 크의 중심장) 축제 절로 잔치가 성사되다 (First Market Colonnade Passage in St. Petersburg),4. 남극 대륙의 발견 (Discovery of the Antarctic mainland),"5. 천문학자 피에르 -시몬 라플라스의 ""천체의 운동에 대한 철저한 이론"" 출판 (Publication of Pierre-Simon Laplace's ""Exposition du Système du Monde"") ","참고: 일부 날짜는 근사치이며, 명확한 날짜가 아닐 수 있습니다.",
Korean,gpt-4,1803,"1. 루이지애나 구매 (Louisiana Purchase): 미국이 프랑스로부터 루이지애나 지역을 구매하여 그 면적을 대폭 확장한 사건.
2. 디미트리우스의 반란 (Demetrious Insurrection): 대공국 러시아 내의 발바리아의 소수 민족들을 이끄는 민족 운동으로 발생한 계급적, 종교적 봉기 사건.
3. 매라딘이 비극 (Maratha Tragedy): 1803년에 일어난 많은 영국군과 마라타 획합적 인도 연합군 간의 해고군특감법, 북군과 남군의 힘을 결집시키지 못한 인도 요새 압자이, 압나의 함락이 지속됐다.
4. 프랑스-영국 전쟁 (Franco-British War): 1793년부터 1815년까지의 프랑스 혁명 전쟁 중 발생한 전쟁 사건으로, 1803년에 다시 전쟁이 재개되었다.
5. 오하이오 주 입성 (Ohio Statehood): 1803년에 오하이오가 미국 17번째 주로 채택되어 연방 주가 되었다.",1. 루이지애나 구매 (Louisiana Purchase): 미국이 프랑스로부터 루이지애나 지역을 구매하여 그 면적을 대폭 확장한 사건.,"2. 디미트리우스의 반란 (Demetrious Insurrection): 대공국 러시아 내의 발바리아의 소수 민족들을 이끄는 민족 운동으로 발생한 계급적, 종교적 봉기 사건.","3. 매라딘이 비극 (Maratha Tragedy): 1803년에 일어난 많은 영국군과 마라타 획합적 인도 연합군 간의 해고군특감법, 북군과 남군의 힘을 결집시키지 못한 인도 요새 압자이, 압나의 함락이 지속됐다.","4. 프랑스-영국 전쟁 (Franco-British War): 1793년부터 1815년까지의 프랑스 혁명 전쟁 중 발생한 전쟁 사건으로, 1803년에 다시 전쟁이 재개되었다.",5. 오하이오 주 입성 (Ohio Statehood): 1803년에 오하이오가 미국 17번째 주로 채택되어 연방 주가 되었다.,,
Korean,gpt-4,1803,"1. 루이지아나 매입 (Louisiana Purchase): 미국이 프랑스로부터 루이지아나 지역을 구입하여 미국의 영토를 거의 2배로 확장한 사건
2. 오태위 회담 (Treaty of Amiens) 종결: 프랑스와 영국 사이의 단기적 평화가 종결되며 본격적인 나폴레옹 전쟁이 시작된 시점
3. 프랑스의 해군 사령관 발스탕 디트레블 대사제 교체 (Situation of Admiral Bruix): 프랑스 해군을 이끌던 사령관이 해임되면서 해군의 안정을 급속도로 잃어버린 사건
4. 나폴레옹, 이태리 왕국의 대통령이 됨 (Napoleon Becomes President of the Italian Republic): 프랑스 제독인 나폴레옹이 이태리왕국의 대통령이 되어 동시대 최강 군사 장수로 도약한 사건
5. 오스만 제국과 소년자장군 세레드프 진에 대한 평화 이루어짐 (Peace with Sereripis and the Ottoman Empire): 나폴레옹이 영국의 도움을 받은 소년자장군과 오스만 제국에 프랑스가 폈으며, 지중해 일대의 영향력을 확장한 사건",1. 루이지아나 매입 (Louisiana Purchase): 미국이 프랑스로부터 루이지아나 지역을 구입하여 미국의 영토를 거의 2배로 확장한 사건,2. 오태위 회담 (Treaty of Amiens) 종결: 프랑스와 영국 사이의 단기적 평화가 종결되며 본격적인 나폴레옹 전쟁이 시작된 시점,3. 프랑스의 해군 사령관 발스탕 디트레블 대사제 교체 (Situation of Admiral Bruix): 프랑스 해군을 이끌던 사령관이 해임되면서 해군의 안정을 급속도로 잃어버린 사건,"4. 나폴레옹, 이태리 왕국의 대통령이 됨 (Napoleon Becomes President of the Italian Republic): 프랑스 제독인 나폴레옹이 이태리왕국의 대통령이 되어 동시대 최강 군사 장수로 도약한 사건","5. 오스만 제국과 소년자장군 세레드프 진에 대한 평화 이루어짐 (Peace with Sereripis and the Ottoman Empire): 나폴레옹이 영국의 도움을 받은 소년자장군과 오스만 제국에 프랑스가 폈으며, 지중해 일대의 영향력을 확장한 사건",,
Korean,gpt-4,1803,"1. 루이지애나 구입 (Louisiana Purchase)
2. 오클라호마의 천재들을 찾아서 (Lewis and Clark Expedition)
3. 해군상 부착무늬 훈장 설립 (First Barbary War)
4. 영국과 아메리카의 전쟁준비 (Essex Junto)
5. 프로자버스 프로 워툴로 리버시우 팩토 (Treaty of Amiens)",1. 루이지애나 구입 (Louisiana Purchase),2. 오클라호마의 천재들을 찾아서 (Lewis and Clark Expedition),3. 해군상 부착무늬 훈장 설립 (First Barbary War),4. 영국과 아메리카의 전쟁준비 (Essex Junto),5. 프로자버스 프로 워툴로 리버시우 팩토 (Treaty of Amiens),,
Korean,gpt-4,1803,"1. 루이지아나 매입 (Louisiana Purchase): 미국이 프랑스로부터 루이지아나 영토를 구매하여 미국의 영토 면적이 두 배가량 늘어난 사건.
2. 오하이오 주가 미국의 17번째 주로 가입 (Ohio Statehood): 오하이오가 미국의 본토 및 가부장주에서 17번째로 가입된 건.
3. 버마와 영국의 쉬론 전투 (Battle of Shilong): 버마와 영국이 임문 무촉의 골짜기에서 전투하는 동안 버마군은 영국군에게 대패했다.
4. 프랑스 시간법 (French time law): 프랑스에서 나폴레옹 1세의 독과점 법에서 시간을 규정한 사건.
5. 일리노이와 미시간 운하 계획 (Illinois and Michigan Canal plan): 일리노이와 미시간 주를 이어주는 운하 계획을 제안한 사건.",1. 루이지아나 매입 (Louisiana Purchase): 미국이 프랑스로부터 루이지아나 영토를 구매하여 미국의 영토 면적이 두 배가량 늘어난 사건.,2. 오하이오 주가 미국의 17번째 주로 가입 (Ohio Statehood): 오하이오가 미국의 본토 및 가부장주에서 17번째로 가입된 건.,3. 버마와 영국의 쉬론 전투 (Battle of Shilong): 버마와 영국이 임문 무촉의 골짜기에서 전투하는 동안 버마군은 영국군에게 대패했다.,4. 프랑스 시간법 (French time law): 프랑스에서 나폴레옹 1세의 독과점 법에서 시간을 규정한 사건.,5. 일리노이와 미시간 운하 계획 (Illinois and Michigan Canal plan): 일리노이와 미시간 주를 이어주는 운하 계획을 제안한 사건.,,
Korean,gpt-4,1803,"1. 루이지애나 구매 (Louisiana Purchase)
2. 마라트 선 재건 (Rebuilding of Maratha Empire)
3. 오하이오 주 입법 (Ohio Statehood)
4. 로버트 플루티 (Robert Fulton) 가 원자력 함선을 만들어 탐사 여행
5. 양관교 공습 (British Invasion of Maratha)",1. 루이지애나 구매 (Louisiana Purchase),2. 마라트 선 재건 (Rebuilding of Maratha Empire),3. 오하이오 주 입법 (Ohio Statehood),4. 로버트 플루티 (Robert Fulton) 가 원자력 함선을 만들어 탐사 여행,5. 양관교 공습 (British Invasion of Maratha),,
Korean,gpt-4,1848,"1. 유럽에서 일어난 1848년 혁명 (1848 Revolutions)
2. 캘리포니아 금 발견 (California Gold Rush)
3. 맑스와 엥겔스의 '공산당 선언' 출판 (Publication of the Communist Manifesto by Karl Marx and Friedrich Engels)
4. 예로 몬터루스협정 체결 (Treaty of Guadalupe Hidalgo)
5. 위스콘신 주가 미국 합중국의 30번째 주가 되다 (Wisconsin becomes the 30th state of the United States)",1. 유럽에서 일어난 1848년 혁명 (1848 Revolutions),2. 캘리포니아 금 발견 (California Gold Rush),3. 맑스와 엥겔스의 '공산당 선언' 출판 (Publication of the Communist Manifesto by Karl Marx and Friedrich Engels),4. 예로 몬터루스협정 체결 (Treaty of Guadalupe Hidalgo),5. 위스콘신 주가 미국 합중국의 30번째 주가 되다 (Wisconsin becomes the 30th state of the United States),,
Korean,gpt-4,1848,"1. 1848년 프랑스 혁명 (봄의 혁명)
2. 1848년 오스트리아 혁명
3. 1848년 헝가리 혁명
4. 1848년 이탈리아 혁명
5. 캘리포니아 금rush",1. 1848년 프랑스 혁명 (봄의 혁명),2. 1848년 오스트리아 혁명,3. 1848년 헝가리 혁명,4. 1848년 이탈리아 혁명,5. 캘리포니아 금rush,,
Korean,gpt-4,1848,"1. 1848년 혁명 (European Revolutions of 1848)
2. 캘리포니아 금열기 (California Gold Rush)
3. 제1차 시칠리아 독립전쟁 (First Sicilian War of Independence)
4. 세르비아 혁명 (Serbian Revolution)
5. 빈 혁명 (Viennese Revolution)",1. 1848년 혁명 (European Revolutions of 1848),2. 캘리포니아 금열기 (California Gold Rush),3. 제1차 시칠리아 독립전쟁 (First Sicilian War of Independence),4. 세르비아 혁명 (Serbian Revolution),5. 빈 혁명 (Viennese Revolution),,
Korean,gpt-4,1848,"1. 1848년 혁명 (유럽 혁명)
2. 캘리포니아 금발열
3. 영국에서의 차트운동
4. 프랑스 두월 혁명 (프랑스 제2공화국 선포)
5. 오스트리아 혁명",1. 1848년 혁명 (유럽 혁명),2. 캘리포니아 금발열,3. 영국에서의 차트운동,4. 프랑스 두월 혁명 (프랑스 제2공화국 선포),5. 오스트리아 혁명,,
Korean,gpt-4,1848,"1. 유럽의 48년 혁명 (Revolutions of 1848)
2. 캘리포니아 금광 발견 (California Gold Rush)
3. 세르비아 혁명 (Serbian Revolution)
4. 노예제 폐지를 위한  여성의회(women's abolitionist movement) 설립
5. 카를 마르크스와 프리드리히 엥겔스의 <공산당 선언> 발표 (Communist Manifesto)",1. 유럽의 48년 혁명 (Revolutions of 1848),2. 캘리포니아 금광 발견 (California Gold Rush),3. 세르비아 혁명 (Serbian Revolution),4. 노예제 폐지를 위한  여성의회(women's abolitionist movement) 설립,5. 카를 마르크스와 프리드리히 엥겔스의 <공산당 선언> 발표 (Communist Manifesto),,
Korean,gpt-4,1868,"1. 미국 대통령 앤드루 존슨 탄핵 심판 - 앤드루 존슨 대통령이 탄핵되고 무죄로 판단된 사건
2. 일본 에도 시대 종료 및 메이지 시대 시작 - 일본의 최고 권력자 오오쿠보 다다마사가 대표적으로 가져온 정치적 개혁
3. 미국 앨라스카 구입 (세워드의 눈치 쇼핑) - 미국이 러시아로부터 앨라스카를 구입한 사건
4. 전벌림 단결 약원 결성 - 한국 조선 왕조 말기의 변방 지역 인사들이 밖으로 나와 국가의 독립과 자주를 위하여 뭉친 단체
5. 프랑스 바이마르 제국 선포 - 프랑스 동일시선거와 바이마르 제국 선포가 이루어진 사건",1. 미국 대통령 앤드루 존슨 탄핵 심판 - 앤드루 존슨 대통령이 탄핵되고 무죄로 판단된 사건,2. 일본 에도 시대 종료 및 메이지 시대 시작 - 일본의 최고 권력자 오오쿠보 다다마사가 대표적으로 가져온 정치적 개혁,3. 미국 앨라스카 구입 (세워드의 눈치 쇼핑) - 미국이 러시아로부터 앨라스카를 구입한 사건,4. 전벌림 단결 약원 결성 - 한국 조선 왕조 말기의 변방 지역 인사들이 밖으로 나와 국가의 독립과 자주를 위하여 뭉친 단체,5. 프랑스 바이마르 제국 선포 - 프랑스 동일시선거와 바이마르 제국 선포가 이루어진 사건,,
Korean,gpt-4,1868,"1. 멕시코 제국 시작: 프랑스의 지원을 받아 멕시코에서 합스부르크 왕조의 막스미리안 1세가 멕시코 제국을 선포
2. 미국 알래스카 구입: 미국이 러시아로부터 알래스카를 구입
3. 일본 메이지 유신: 일본의 도쿄로 수도 이전 및 메이지 천황 종립 유신 정부의 출범
4. 남부 학살(Nynganpaak): 동아시아 식민지 지배하고자 하는 서구국들에 의해 베트남의 임시 정부인 남부 학살이 발생
5. 러시아의 젊은 폭동: 러시아의 황실을 향한 저항 운동으로 발생한 쿠테파에 대한 시도를 포함",1. 멕시코 제국 시작: 프랑스의 지원을 받아 멕시코에서 합스부르크 왕조의 막스미리안 1세가 멕시코 제국을 선포,2. 미국 알래스카 구입: 미국이 러시아로부터 알래스카를 구입,3. 일본 메이지 유신: 일본의 도쿄로 수도 이전 및 메이지 천황 종립 유신 정부의 출범,4. 남부 학살(Nynganpaak): 동아시아 식민지 지배하고자 하는 서구국들에 의해 베트남의 임시 정부인 남부 학살이 발생,5. 러시아의 젊은 폭동: 러시아의 황실을 향한 저항 운동으로 발생한 쿠테파에 대한 시도를 포함,,
Korean,gpt-4,1868,"1. 멕시코 혁명 (La Reforma War): 멕시코에서 보수주의자와 진보주의자간의 전쟁.
2. 미국의 알래스카 구입 (Alaska Purchase): 미국이 러시아로부터 알래스카를 구입한 사건.
3. 폐전 특명 (Meiji Restoration): 일본의 전통적인 사무라이 정치를 폐지하고 황실을 중심으로 국가를 개혁하는 층건
4. 굴리엘모 마라코니의 탄생: 무선전신을 발명한 이탈리아의 발명가 가리엘모 마라코니가 이때 태어났다.
5. 맹추구리의 충격 (The Zongli Yamen Incident): 중국 청나라정부가 프랑스와 영국의 나라 주민들을 분렬하게 한 사건으로 낮은급 디플로맷이 영국, 프랑스랑 이양한채 끔찍한 일이다.",1. 멕시코 혁명 (La Reforma War): 멕시코에서 보수주의자와 진보주의자간의 전쟁.,2. 미국의 알래스카 구입 (Alaska Purchase): 미국이 러시아로부터 알래스카를 구입한 사건.,3. 폐전 특명 (Meiji Restoration): 일본의 전통적인 사무라이 정치를 폐지하고 황실을 중심으로 국가를 개혁하는 층건,4. 굴리엘모 마라코니의 탄생: 무선전신을 발명한 이탈리아의 발명가 가리엘모 마라코니가 이때 태어났다.,"5. 맹추구리의 충격 (The Zongli Yamen Incident): 중국 청나라정부가 프랑스와 영국의 나라 주민들을 분렬하게 한 사건으로 낮은급 디플로맷이 영국, 프랑스랑 이양한채 끔찍한 일이다.",,
Korean,gpt-4,1868,"1. 미국의 조지아주 출신의 공화주의자들이 출판한 미국헌법 14번째 헌법 개정안
2. 일본의 적십자 사회 설립
3. 미국의 앨라스카 구매 (러시아로부터 앨라스카를 구입함)
4. 대일본 제국의 메이지 혁명 (메이지 황제의 통치이름)
5. 에티오피아와 보리브디루의 친선, 상호 좋은 이웃 행동 및 국제 안전 헌장에 따른 첫 협약",1. 미국의 조지아주 출신의 공화주의자들이 출판한 미국헌법 14번째 헌법 개정안,2. 일본의 적십자 사회 설립,3. 미국의 앨라스카 구매 (러시아로부터 앨라스카를 구입함),4. 대일본 제국의 메이지 혁명 (메이지 황제의 통치이름),"5. 에티오피아와 보리브디루의 친선, 상호 좋은 이웃 행동 및 국제 안전 헌장에 따른 첫 협약",,
Korean,gpt-4,1868,"1. 미국의 국내 노예제 폐지: 1868년 2월 26일, 미국에서 제 13 수정 헌법이 채택되어 노예제가 폐지되었습니다.
2. 쿠바 독립 전쟁 시작: 1868년 10월 10일, 스페인의 식민지였던 쿠바에서 독립 전쟁이 시작되었습니다.
3. 일본 매일정사 문맥: 1868년 2월 3일, 매일정사 문맥은 일본의 쿠지가와 도미오 일 가족을 폐하기로 결정하여 아이노 사진을 찍었습니다.
4. 프랑스가 코르시카섬을 이탈리아로부터 장악: 1868년, 프랑스가 이탈리아로부터 코르시카섬을 장악합니다. 이로 인해 코르시카섬은 프랑스의 영토가 되었습니다.
5. 메지 유신: 1868년, 일본에서 메이지 즉위로 인해 친정부 요조가 접수되어 개혁이 실시되었습니다. 이로 인해 일본은 서구식 근대화를 도입하기 시작했습니다.","1. 미국의 국내 노예제 폐지: 1868년 2월 26일, 미국에서 제 13 수정 헌법이 채택되어 노예제가 폐지되었습니다.","2. 쿠바 독립 전쟁 시작: 1868년 10월 10일, 스페인의 식민지였던 쿠바에서 독립 전쟁이 시작되었습니다.","3. 일본 매일정사 문맥: 1868년 2월 3일, 매일정사 문맥은 일본의 쿠지가와 도미오 일 가족을 폐하기로 결정하여 아이노 사진을 찍었습니다.","4. 프랑스가 코르시카섬을 이탈리아로부터 장악: 1868년, 프랑스가 이탈리아로부터 코르시카섬을 장악합니다. 이로 인해 코르시카섬은 프랑스의 영토가 되었습니다.","5. 메지 유신: 1868년, 일본에서 메이지 즉위로 인해 친정부 요조가 접수되어 개혁이 실시되었습니다. 이로 인해 일본은 서구식 근대화를 도입하기 시작했습니다.",,
Korean,gpt-4,1910,"1. 멕시코 혁명 (Mexican Revolution)
2. 일본의 한국 통치 시작 (Japan's Annexation of Korea)
3. 해그 영구 중재법 판결 첫 번째 사례 (First Case Settled by Permanent Court of Arbitration at The Hague)
4. 영국과 한국의 조약 체결 (Britain and Korea sign a treaty)
5. 아리조나와 하와이 주착 법안 통과 (US Statehood for Arizona and Hawaii)",1. 멕시코 혁명 (Mexican Revolution),2. 일본의 한국 통치 시작 (Japan's Annexation of Korea),3. 해그 영구 중재법 판결 첫 번째 사례 (First Case Settled by Permanent Court of Arbitration at The Hague),4. 영국과 한국의 조약 체결 (Britain and Korea sign a treaty),5. 아리조나와 하와이 주착 법안 통과 (US Statehood for Arizona and Hawaii),,
Korean,gpt-4,1910,"1. 멕시코 혁명 (Mexican Revolution)
2. 애들러의 이론회철투쟁론 발표 (Introduction of Alfred Adler's theory of ""struggling"" or ""fighting"")
3. 한인 독립운동의 무장투쟁 (The Korean Independence Movement's armed struggle)
4. 헤일리요식당에서 안토니오말라토와 마누엘폰세다새레스의 대결 (Conflict between Antonio Maura and Manuel Ponce de León at the Heliogabalus restaurant)
5. 토마스 매스 그라디스의 쿠바 독립 선언 (Thomas Massey's Declaration of Cuban Independence)",1. 멕시코 혁명 (Mexican Revolution),"2. 애들러의 이론회철투쟁론 발표 (Introduction of Alfred Adler's theory of ""struggling"" or ""fighting"")",3. 한인 독립운동의 무장투쟁 (The Korean Independence Movement's armed struggle),4. 헤일리요식당에서 안토니오말라토와 마누엘폰세다새레스의 대결 (Conflict between Antonio Maura and Manuel Ponce de León at the Heliogabalus restaurant),5. 토마스 매스 그라디스의 쿠바 독립 선언 (Thomas Massey's Declaration of Cuban Independence),,
Korean,gpt-4,1910,"1. 멕시코 혁명 (Mexican Revolution)
2. 헤이그 천문대 견해 (Hale's Observations at Mount Wilson Observatory)
3. 토마스 에디슨이 인공 진공관 발명 (Thomas Edison's invention of the Artificial Vacuum Tube)
4. 인도-앙증맬라즈 음모 (India-Anzacs Conspiracy)
5. 유고슬라비아 왕국의 세례 (Kingdom of Yugoslavia's renaming)",1. 멕시코 혁명 (Mexican Revolution),2. 헤이그 천문대 견해 (Hale's Observations at Mount Wilson Observatory),3. 토마스 에디슨이 인공 진공관 발명 (Thomas Edison's invention of the Artificial Vacuum Tube),4. 인도-앙증맬라즈 음모 (India-Anzacs Conspiracy),5. 유고슬라비아 왕국의 세례 (Kingdom of Yugoslavia's renaming),,
Korean,gpt-4,1910,"1. 멕시코 혁명 (Mexican Revolution)
2. 헬싱포르스 선언 (Helsinki Manifesto)
3. 이탈리아가 트리폴리탄니아에 침공 (Italian invasion of Tripolitania)
4. 주택 사용료에 관한 토지 수용 조치를 승인 (Kelo v. City of New London)
5. US 문자인 Manic 따른 USC 1 위에 승진 (USC promotes Manic to 1st place)",1. 멕시코 혁명 (Mexican Revolution),2. 헬싱포르스 선언 (Helsinki Manifesto),3. 이탈리아가 트리폴리탄니아에 침공 (Italian invasion of Tripolitania),4. 주택 사용료에 관한 토지 수용 조치를 승인 (Kelo v. City of New London),5. US 문자인 Manic 따른 USC 1 위에 승진 (USC promotes Manic to 1st place),,
Korean,gpt-4,1910,"1. 멕시코 혁명 (Mexican Revolution)
2. 할리우드의 창립 (Founding of Hollywood)
3. 토마스 에디슨의 영구 평판 유지 장치 발명 (Thomas Edison's invention of the kinetophone)
4. 월거스트리트를 게임해 영국 영주를 믿게 한 그레이트 승부 (The Great Stock Exchange Fraud)
5. 남극 대륙 및 남극점 경쟁 (The Antarctic Expedition and Race to the South Pole)",1. 멕시코 혁명 (Mexican Revolution),2. 할리우드의 창립 (Founding of Hollywood),3. 토마스 에디슨의 영구 평판 유지 장치 발명 (Thomas Edison's invention of the kinetophone),4. 월거스트리트를 게임해 영국 영주를 믿게 한 그레이트 승부 (The Great Stock Exchange Fraud),5. 남극 대륙 및 남극점 경쟁 (The Antarctic Expedition and Race to the South Pole),,
Korean,gpt-4,1950,"1. 한국 전쟁 (Korean War)
2. 중화인민공화국의 티베트 군사 점령 (PRC's Invasion of Tibet)
3. 마카오 가마오 소요 (Macau 3-2-9 Riots)
4. 세계 인권 선언 (European Convention on Human Rights)
5. 서독과 동독의 창립 (Founding of West Germany and East Germany)",1. 한국 전쟁 (Korean War),2. 중화인민공화국의 티베트 군사 점령 (PRC's Invasion of Tibet),3. 마카오 가마오 소요 (Macau 3-2-9 Riots),4. 세계 인권 선언 (European Convention on Human Rights),5. 서독과 동독의 창립 (Founding of West Germany and East Germany),,
Korean,gpt-4,1950,"1. 한국 전쟁 (Korean War)
2. 중국의 선진마오의 ""대약진"" 캠페인 (China's Great Leap Forward campaign)
3. 멕시코가 아프리카에서 곤충사스로 옮겨오게 된 미끼파리 창궐 어로사랑 현상 (Mexico's outbreak of screwworm flies, a pest from Africa)
4. 러시아 과학자 니콜라이 커어자프가 여러 슬라브국가들에 대한 주석사전의 출간을 착수 (Russian linguist Nikolai Trubetzkoy launches publication of dictionary for various Slavic languages)
5. 마셜플랜에 유럽의 경제의 복원 (European economy recovers with the Marshall Plan)",1. 한국 전쟁 (Korean War),"2. 중국의 선진마오의 ""대약진"" 캠페인 (China's Great Leap Forward campaign)","3. 멕시코가 아프리카에서 곤충사스로 옮겨오게 된 미끼파리 창궐 어로사랑 현상 (Mexico's outbreak of screwworm flies, a pest from Africa)",4. 러시아 과학자 니콜라이 커어자프가 여러 슬라브국가들에 대한 주석사전의 출간을 착수 (Russian linguist Nikolai Trubetzkoy launches publication of dictionary for various Slavic languages),5. 마셜플랜에 유럽의 경제의 복원 (European economy recovers with the Marshall Plan),,
Korean,gpt-4,1950,"1. 한국 전쟁 (Korean War)
2. 중앙정보국 설립 (Establishment of the Central Intelligence Agency)
3. 마카오 포르투갈에 반환 (China and Portugal re-establish diplomatic relations on Macau)
4. 하이디라바드 국가 결성 (Annexation of Hyderabad State to India)
5. NATO 조약 발효 (NATO treaty coming into effect)",1. 한국 전쟁 (Korean War),2. 중앙정보국 설립 (Establishment of the Central Intelligence Agency),3. 마카오 포르투갈에 반환 (China and Portugal re-establish diplomatic relations on Macau),4. 하이디라바드 국가 결성 (Annexation of Hyderabad State to India),5. NATO 조약 발효 (NATO treaty coming into effect),,
Korean,gpt-4,1950,"1. 한국 전쟁 (Korean War)
2. 아시아 태평양 회의 (Asia-Pacific Conference)
3. 연방공화국 독일의 전권 이전 (Transfer of Full Power to the Federal Republic of Germany)
4. 마카오 정부의 신설 (Establishment of Macau Government)
5. 중국과 소련의 30년 동맹조약 체결 (Sino-Soviet Treaty of Friendship)",1. 한국 전쟁 (Korean War),2. 아시아 태평양 회의 (Asia-Pacific Conference),3. 연방공화국 독일의 전권 이전 (Transfer of Full Power to the Federal Republic of Germany),4. 마카오 정부의 신설 (Establishment of Macau Government),5. 중국과 소련의 30년 동맹조약 체결 (Sino-Soviet Treaty of Friendship),,
Korean,gpt-4,1950,"1. 남북한 분단: 1950년 6월 25일, 조선민주주의인민공화국(북한)이 대한민국(남한)을 침공하며 시작된 한국 전쟁
2. 중국 인민공화국과 인도의 현대 계약 체결: 1950년 4월 1일
3. 인도네시아 독립 인정: 1950","1. 남북한 분단: 1950년 6월 25일, 조선민주주의인민공화국(북한)이 대한민국(남한)을 침공하며 시작된 한국 전쟁",2. 중국 인민공화국과 인도의 현대 계약 체결: 1950년 4월 1일,3. 인도네시아 독립 인정: 1950,,,,
Korean,gpt-4,2020,"1. 코로나19 대유행 (COVID-19 Pandemic)
2. 블랙 라이브스 매터 운동 (Black Lives Matter Movement)
3. 베이루트 대폭발 (Beirut Explosion)
4. 호주 산불 (Australian Wildfires)
5. 아르메니아 - 아제르바이잔 충돌 (Armenia-Azerbaijan Conflict)",1. 코로나19 대유행 (COVID-19 Pandemic),2. 블랙 라이브스 매터 운동 (Black Lives Matter Movement),3. 베이루트 대폭발 (Beirut Explosion),4. 호주 산불 (Australian Wildfires),5. 아르메니아 - 아제르바이잔 충돌 (Armenia-Azerbaijan Conflict),,
Korean,gpt-4,2020,"1. COVID-19 팬데믹 (코로나 바이러스 감염병 확산)
2. 브렉시트 (영국의 유럽연합 탈퇴)
3. 조지 플로이드 시위 (Black Lives Matter 운동 확산)
4. 베이루트 대폭발 (레바논 베이루트 항구에서 발생한 대규모 폭발)
5. 미국 대선 (조 바이든의 미국 대통령 당선)",1. COVID-19 팬데믹 (코로나 바이러스 감염병 확산),2. 브렉시트 (영국의 유럽연합 탈퇴),3. 조지 플로이드 시위 (Black Lives Matter 운동 확산),4. 베이루트 대폭발 (레바논 베이루트 항구에서 발생한 대규모 폭발),5. 미국 대선 (조 바이든의 미국 대통령 당선),,
Korean,gpt-4,2020,"1. 코로나19 세계 대유행 (COVID-19 Global Pandemic)
2. 브렉시트 (Brexit)
3. 미국에서 조지 플로이드 사건으로 인한 '블랙 라이브스 매터' 운동 (George Floyd's Death and Black Lives Matter Protests)
4. 베이루트 폭발 사건 (Beirut Explosion)
5. 호주 산불 (Australian Wildfires)",1. 코로나19 세계 대유행 (COVID-19 Global Pandemic),2. 브렉시트 (Brexit),3. 미국에서 조지 플로이드 사건으로 인한 '블랙 라이브스 매터' 운동 (George Floyd's Death and Black Lives Matter Protests),4. 베이루트 폭발 사건 (Beirut Explosion),5. 호주 산불 (Australian Wildfires),,
Korean,gpt-4,2020,"1. 코로나19 세계적 대유행 (COVID-19 Global Pandemic)
2. 블랙 라이브스 매터 운동 (Black Lives Matter Movement)
3. 유럽연합(EU)과 영국의 브렉시트 합의 (Brexit Deal between the EU and UK)
4. 오스트레일리아 대형 산불 (Australian Bushfires)
5. 레바논 베이루트 폭발 (Beirut Explosion in Lebanon)",1. 코로나19 세계적 대유행 (COVID-19 Global Pandemic),2. 블랙 라이브스 매터 운동 (Black Lives Matter Movement),3. 유럽연합(EU)과 영국의 브렉시트 합의 (Brexit Deal between the EU and UK),4. 오스트레일리아 대형 산불 (Australian Bushfires),5. 레바논 베이루트 폭발 (Beirut Explosion in Lebanon),,
Korean,gpt-4,2020,"1. COVID-19 팬데믹
2. 블랙 라이브스 매터 운동
3. 베이루트 폭발 사고
4. 아이란과 미국의 긴장 고조 (소레이마니 사살)
5. 도쿄 올림픽 연기",1. COVID-19 팬데믹,2. 블랙 라이브스 매터 운동,3. 베이루트 폭발 사고,4. 아이란과 미국의 긴장 고조 (소레이마니 사살),5. 도쿄 올림픽 연기,,
